Area_id,area,area_title,occ_title,tot_emp,h_mean,a_mean
216,15,Hawaii,"Life, Physical, and Social Science Occupations","6,280",34.78,"72,340"
217,16,Idaho,"Life, Physical, and Social Science Occupations","9,700",26.54,"55,200"
218,17,Illinois,"Life, Physical, and Social Science Occupations","36,690",34.05,"70,810"
219,18,Indiana,"Life, Physical, and Social Science Occupations","19,600",33.64,"69,980"
220,19,Iowa,"Life, Physical, and Social Science Occupations","12,020",29.61,"61,580"
221,20,Kansas,"Life, Physical, and Social Science Occupations","8,520",31.79,"66,120"
222,21,Kentucky,"Life, Physical, and Social Science Occupations","8,250",29.31,"60,960"
223,22,Louisiana,"Life, Physical, and Social Science Occupations","13,770",32.27,"67,120"
224,23,Maine,"Life, Physical, and Social Science Occupations","4,000",30.98,"64,440"
225,24,Maryland,"Life, Physical, and Social Science Occupations","41,280",44.82,"93,210"
226,25,Massachusetts,"Life, Physical, and Social Science Occupations","53,530",40.99,"85,270"
227,26,Michigan,"Life, Physical, and Social Science Occupations","30,440",30.49,"63,420"
228,27,Minnesota,"Life, Physical, and Social Science Occupations","26,210",36.46,"75,830"
229,28,Mississippi,"Life, Physical, and Social Science Occupations","6,220",29.84,"62,060"
230,29,Missouri,"Life, Physical, and Social Science Occupations","17,030",30.34,"63,120"
231,30,Montana,"Life, Physical, and Social Science Occupations","8,020",26.91,"55,970"
232,31,Nebraska,"Life, Physical, and Social Science Occupations","6,980",30.22,"62,850"
233,32,Nevada,"Life, Physical, and Social Science Occupations","8,160",31.28,"65,060"
234,33,New Hampshire,"Life, Physical, and Social Science Occupations","4,180",36.45,"75,820"
235,34,New Jersey,"Life, Physical, and Social Science Occupations","37,160",47.68,"99,170"
236,35,New Mexico,"Life, Physical, and Social Science Occupations","11,570",40.3,"83,820"
237,36,New York,"Life, Physical, and Social Science Occupations","67,740",36.67,"76,270"
238,37,North Carolina,"Life, Physical, and Social Science Occupations","35,220",34.14,"71,000"
239,38,North Dakota,"Life, Physical, and Social Science Occupations","3,370",32.37,"67,330"
240,39,Ohio,"Life, Physical, and Social Science Occupations","36,250",32.03,"66,630"
241,40,Oklahoma,"Life, Physical, and Social Science Occupations","10,960",32.9,"68,440"
242,41,Oregon,"Life, Physical, and Social Science Occupations","20,060",31.77,"66,080"
243,42,Pennsylvania,"Life, Physical, and Social Science Occupations","45,730",36.98,"76,930"
244,44,Rhode Island,"Life, Physical, and Social Science Occupations","3,140",39.04,"81,190"
245,45,South Carolina,"Life, Physical, and Social Science Occupations","9,350",31.45,"65,430"
246,46,South Dakota,"Life, Physical, and Social Science Occupations","4,160",26.87,"55,890"
247,47,Tennessee,"Life, Physical, and Social Science Occupations","17,300",31.19,"64,880"
248,48,Texas,"Life, Physical, and Social Science Occupations","80,990",36.97,"76,890"
249,49,Utah,"Life, Physical, and Social Science Occupations","12,660",29.47,"61,290"
250,50,Vermont,"Life, Physical, and Social Science Occupations","2,650",32.31,"67,200"
251,51,Virginia,"Life, Physical, and Social Science Occupations","32,480",41.21,"85,720"
252,53,Washington,"Life, Physical, and Social Science Occupations","35,780",36.2,"75,290"
253,54,West Virginia,"Life, Physical, and Social Science Occupations","6,200",28.05,"58,330"
254,55,Wisconsin,"Life, Physical, and Social Science Occupations","20,340",30.7,"63,850"
255,56,Wyoming,"Life, Physical, and Social Science Occupations","4,040",28.43,"59,130"
256,1,Alabama,Community and Social Service Occupations,"18,720",21.54,"44,790"
257,2,Alaska,Community and Social Service Occupations,"7,160",25.77,"53,610"
258,4,Arizona,Community and Social Service Occupations,"42,850",21.7,"45,140"
259,5,Arkansas,Community and Social Service Occupations,"14,310",20.04,"41,670"
260,6,California,Community and Social Service Occupations,"282,230",27.94,"58,120"
261,8,Colorado,Community and Social Service Occupations,"39,470",23.98,"49,870"
262,9,Connecticut,Community and Social Service Occupations,"34,050",27.62,"57,440"
263,10,Delaware,Community and Social Service Occupations,"6,760",22.74,"47,300"
264,11,District of Columbia,Community and Social Service Occupations,"11,730",29.74,"61,860"
265,12,Florida,Community and Social Service Occupations,"101,550",21.37,"44,450"
266,13,Georgia,Community and Social Service Occupations,"50,540",22.49,"46,770"
267,15,Hawaii,Community and Social Service Occupations,"10,550",25.71,"53,480"
268,16,Idaho,Community and Social Service Occupations,"11,710",21.02,"43,710"
269,17,Illinois,Community and Social Service Occupations,"84,550",23.4,"48,670"
270,18,Indiana,Community and Social Service Occupations,"39,190",21.02,"43,720"
271,19,Iowa,Community and Social Service Occupations,"21,370",21.74,"45,210"
272,20,Kansas,Community and Social Service Occupations,"16,970",20.23,"42,090"
273,21,Kentucky,Community and Social Service Occupations,"27,080",20.33,"42,280"
274,22,Louisiana,Community and Social Service Occupations,"26,630",21.03,"43,740"
275,23,Maine,Community and Social Service Occupations,"10,350",22.38,"46,540"
276,24,Maryland,Community and Social Service Occupations,"43,090",25.53,"53,090"
277,25,Massachusetts,Community and Social Service Occupations,"84,380",23.89,"49,680"
278,26,Michigan,Community and Social Service Occupations,"61,720",22.81,"47,450"
279,27,Minnesota,Community and Social Service Occupations,"57,870",23.55,"48,990"
280,28,Mississippi,Community and Social Service Occupations,"14,190",18.99,"39,490"
281,29,Missouri,Community and Social Service Occupations,"43,300",19.84,"41,270"
282,30,Montana,Community and Social Service Occupations,"9,170",19.72,"41,020"
283,31,Nebraska,Community and Social Service Occupations,"14,170",20.38,"42,390"
284,32,Nevada,Community and Social Service Occupations,"12,780",25.34,"52,700"
285,33,New Hampshire,Community and Social Service Occupations,"8,740",22.5,"46,800"
286,34,New Jersey,Community and Social Service Occupations,"69,550",26.02,"54,120"
287,35,New Mexico,Community and Social Service Occupations,"13,350",21.53,"44,780"
288,36,New York,Community and Social Service Occupations,"191,680",25.78,"53,620"
289,37,North Carolina,Community and Social Service Occupations,"53,050",21.92,"45,600"
290,38,North Dakota,Community and Social Service Occupations,"5,690",23.98,"49,890"
291,39,Ohio,Community and Social Service Occupations,"79,140",22.01,"45,790"
292,40,Oklahoma,Community and Social Service Occupations,"24,000",19.89,"41,370"
293,41,Oregon,Community and Social Service Occupations,"38,300",24.22,"50,390"
294,42,Pennsylvania,Community and Social Service Occupations,"107,970",21.84,"45,440"
295,44,Rhode Island,Community and Social Service Occupations,"9,000",25.49,"53,010"
